ID	Flux	X
v1	122.404	7.37132e+25
v10	940.042	5.66107e+26
v11	114.279	6.88204e+25
v12	55.118	3.31928e+25
v13	50.1101	3.0177e+25
v14	3.87932	2.33618e+24
v15	1.12859	6.79654e+23
v16	41.8086	2.51777e+25
v17	62.4546	3.76111e+25
v18	12.0689	7.26805e+24
v19	24.7155	1.4884e+25
v2	66.2216	3.98796e+25
v20	148.333	8.93285e+25
v21	24.3878	1.46867e+25
v22	37.908	2.28287e+25
v23	13.5202	8.14203e+24
v24	825.763	4.97286e+26
v25	929.458	5.59732e+26
v26	1.48425	8.93835e+23
v27	1.48425	8.93835e+23
v28	104.263	6.27888e+25
v29	104.263	6.27888e+25
v3	131.667	7.92919e+25
v30	104.263	6.27888e+25
v31	104.263	6.27888e+25
v32	1.48425	8.93835e+23
v33	0	0
v34	0	0
v35	5.78045e-18	3.48107e+06
v36	-9.70957e-13	-5.84724e+11
v37	0	0
v38	0.568808	3.42544e+23
v39	89.5635	5.39364e+25
v4	56.9579	3.43009e+25
v40	5.00791	3.01584e+24
v41	89.5635	5.39364e+25
v5	188.625	1.13593e+26
v6	61.1537	3.68276e+25
v7	37.908	2.28287e+25
v8	89.5635	5.39364e+25
v9	89.5635	5.39364e+25
